topic	pmid	publication_year
CD001920	2741997	1989
CD001920	8630191	1996
CD001920	10527076	1999
CD001920	12804415	2003
CD001920	15495079	2004
CD001920	15743283	2005
CD001920	16181164	2005
CD001920	17008338	2006
CD001920	17443550	2007
CD001920	17939776	2007
CD001920	19118128	2009
CD001920	19588381	2009
CD001920	19674485	2009
CD001920	21036118	2010
CD001920	21249701	2011
CD001920	21612471	2011
CD001920	22503739	2012
CD001920	22861816	2013
CD001920	23216861	2012
CD001920	23217105	2012
CD001920	23227428	2012
CD001920	23600965	2013
CD001920	23728683	2013
CD001920	23901675	2013
CD001920	24117062	2013
CD001920	24189091	2014
CD001920	24259927	2013
CD001920	24355995	2014
CD001920	24370323	2014
CD001920	24668360	2014
CD001920	24708038	2014
CD001920	24788580	2015
CD001920	24795163	2015
CD001920	24859467	2014
CD001920	24982002	2014
CD001920	25037002	2014
CD001920	25140077	2014
CD001920	25300433	2014
CD001920	25357149	2015
CD001920	25387001	2014
CD001920	25411026	2015
CD001920	25427891	2015
CD001920	25506618	2014
CD001920	25524443	2014
CD001920	25538152	2015
CD001920	25538853	2014
CD001920	25576474	2015
CD001920	25903158	2015
CD001920	25920470	2015
CD001920	26034487	2015
CD001920	26048054	2015
CD001920	26055635	2015
CD001920	26180312	2015
CD001920	26220327	2016
CD001920	26260878	2016
CD001920	26316552	2016
CD001920	26409399	2015
CD001920	26451007	2016
CD001920	26504340	2015
CD001920	26600952	2015
CD001920	26728501	2016
CD001920	26763949	2016
CD001920	26957751	2016
CD001920	27107979	2017
CD001920	27145936	2016
CD001920	27190440	2016
CD001920	27341068	2017
CD001920	27347547	2015
CD001920	27398997	2016
CD001920	27415645	2017
CD001920	27418997	2016
CD001920	27562656	2016
CD001920	27585746	2016
CD001920	27697876	2016
CD001920	27821673	2017
CD001920	27841442	2016
CD001920	28002636	2016
CD001920	28503533	2017
CD001920	28573757	2017
CD001920	28603356	2017
CD001920	28626306	2017
CD001920	28642466	2017
CD001920	28815562	2017
CD001920	28885236	2017
CD001920	29068037	2018
CD001920	29097056	2018
CD001920	29156493	2017
CD001920	29220541	2017
CD001920	29270204	2017
CD001920	29284737	2018
CD001920	29314757	2018
CD001920	29335013	2018
CD001920	29361348	2018
CD001920	29412167	2018
CD001920	29413790	2018
CD001920	29449290	2018
CD001920	29529870	2018
CD001920	29545693	2018
CD001920	29706442	2018
CD001920	29859180	2018
CD001920	29961738	2018
CD001920	29993119	2018
CD001920	30010509	2019
CD001920	30121600	2018
CD001920	30140119	2018
