id,training_version,training_publish_year,testing_version,testing_publish_year
CD001920,pub3,2023,pub4,2025
CD006103,pub8,2023,pub9,2024
CD010216,pub8,2024,pub9,2025
CD013862,pub2,2023,pub3,2023
CD014160,base,2023,pub2,2025
CD014226,base,2023,pub2,2025
CD014612,base,2023,pub2,2025
CD015592,pub2,2023,pub3,2023
CD015701,base,2023,pub2,2025
CD015705,base,2023,pub2,2024
CD015749,base,2023,pub2,2025
CD015751,base,2023,pub2,2024
CD015786,base,2023,pub2,2025
CD015802,base,2023,pub2,2024
CD015804,base,2023,pub2,2024
CD015820,base,2023,pub2,2025
CD015890,base,2023,pub2,2025
CD016058,base,2024,pub2,2025
CD016070,base,2024,pub2,2025
CD016071,base,2024,pub2,2025
